Date,Tweet
10/1/2020,"On behalf of Jill and our entire family, I want to wish the Korean-American community a happy Chuseok. May your celebrations be filled with laughter, joy, and plenty of good food. \xed\x96\x89\xeb\xb3\xb5\xed\x95\x9c \xed\x95\x9c\xea\xb0\x80\xec\x9c\x84 \xeb\xb3\xb4\xeb\x82\xb4\xec\x84\xb8\xec\x9a\x94!"
10/1/2020,Last night reinforced why I got into this race: We are in a battle for the soul of this nation - and it's a battle we must win.
9/30/2020,White supremacy has no place in America.  We shouldn't have to beg the President of the United States to say that.
9/30/2020,You heard a lot come out of President Trump's mouth. Can you name one thing he said to actually make your life better?
9/30/2020,"Under this president, we've become weaker, sicker, poorer, more divided, and more violent."
9/30/2020,Donald Trump isn't a law and order president. He's a president who breaks the law and creates disorder.
9/30/2020,"Show us your tax returns, @realDonaldTrump."
9/30/2020,Donald Trump is the worst president we've ever had.
9/30/2020,"When I hear 200,000 deaths, I think of the empty chairs at dining room tables all across the country, which just months ago were filled by loved ones.  It didn't have to be this bad."
9/30/2020,It is what it is because Donald Trump is who he is.
9/30/2020,"President Trump keeps promising to protect Americans with pre-existing conditions, but the truth is he's in Court trying to rip their protections away.  And now, he's trying to jam through the confirmation of a Justice who will help him get it done.  We can't let him win."
9/29/2020,"If we're elected, @KamalaHarris and I will wake up every single morning to fight for the middle class. For Main Street. For the folks who keep our country running.  We're going to make our government work for everyone - not just the wealthy and well-connected."
9/29/2020,The American people understand the urgency of this moment. They're voting in droves because their health care hangs in the balance.  But Donald Trump doesn't care - he sees a chance to eliminate Obamacare and rip away health care protections from millions.  It's unconscionable.
9/28/2020,"I'm not looking to punish anyone, but it's about time the super-wealthy and corporate America start paying their fair share."
9/28/2020,President Trump can claim he wants to protect people with pre-existing conditions all he wants - but the fact is he's fighting tooth and nail to take their protections away.
9/28/2020,There's no mystery when it comes to what's happening with the Supreme Court. President Trump and Republicans have been trying to throw out Obamacare for years - and now they see an opening to get it done.  We can't let them get away with it.
9/27/2020,"On this Gold Star Mother's and Family's Day, Jill and I are keeping the loved ones of our fallen heroes in our prayers. May we never fail to honor them and carry their spirit with us every day."
9/27/2020,The truth is the economy wasn't working for folks long before these crises hit. It's why @KamalaHarris and I won't just build back to the way things were - we'll build back better. We won't be satisfied until the economy starts working for every
9/26/2020,The Senate shouldn't vote until the American people do.
9/26/2020,"Supreme Court decisions affect our everyday lives, and the Constitution was designed to give voters a voice on who makes those decisions.  The Senate shouldn't act until after the American people select their next president and the next Congress.  Americans deserve to be heard."
9/26/2020,"When Ebola hit, President Obama and I took swift action and successfully contained the virus.  After COVID-19 hit, President Trump lied to the American people and said it would miraculously ""disappear.""  Now, over 200,000 lives have been cut short.  It\'s a national tragedy."
9/26/2020,"At this moment, we're facing both the worst public health crisis of our lifetime and the existential threat of climate change.  We need a president who believes in science."
9/26/2020,"If I'm elected, I won't wait to take action on COVID-19.  Minutes after the race is called, I'll call Dr. Fauci and ask him to stay on.  During my transition, I'll bring together experts and leaders from both parties to chart a path forward.  We will overcome this, together."
9/25/2020,"The unrelenting impact of climate change affects every single one of us.  It requires action, not denial. It requires leadership, not scapegoating.  It requires a president to meet the threshold duty of the office - to care, for everyone."
9/25/2020,Health care is a right - not a privilege.
9/25/2020,"In the middle of a global pandemic, President Trump is trying to get the U.S. Supreme Court to eliminate Obamacare and rip health care protections away from 100 million Americans with pre-existing conditions.  Don't forget that."
9/24/2020,"Once again, we are called to ask ourselves whether justice could be equally applied in America. But what's clear is that today in America, Black women deserve better."
9/24/2020,"In-person early voting should be easy and convenient for all. The Flint, MI City Clerk's office will be open the last three weekends before Election Day for folks to cast their ballots. It's an example that cities and states across the country should follow."
9/24/2020,"On this Feast Day of Our Lady of Mercy, I stand in solidarity with all defenders of human rights from Cuba, Nicaragua, and Venezuela - and pray for the freedom of all political prisoners."
9/24/2020,"Even amidst the profound grief ; anger today's decision generated, violence is never ; can never be the answer. Those who engage in it must be held accountable. Jill ; I are keeping the officers shot tonight in Louisville in our prayers. We wish them both a swift ; full recovery."
9/22/2020,"Donald Trump sees the world from Park Avenue.  I see the world from where I grew up: Scranton, Pennsylvania."
9/22/2020,"200,000 Americans have died from this virus.  It's a staggering number that's hard to wrap your head around. But behind every COVID-19 death is a family and community that will never again be the same.  There's a devastating human toll to this pandemic - and we c"
9/22/2020,"Today, we'll pass another grim milestone in this pandemic: 200,000 American lives lost.  Jill and I are keeping everyone who's hurting in our prayers. No words can numb your pain, but know the nation grieves with you.  Today is dark, but we will overcome this. Keep the faith."
9/22/2020,"Donald Trump ran for office saying he would represent the forgotten men and women of this country - and as soon as he got in office, he forgot about us."
9/22/2020,"When the virus came, President Trump wasn't thinking about you, he was thinking about his own reelection.  It's how Trump looks at the world: It's always about him, never about us.  You deserve a president who will put you first."
9/19/2020,We must win.
9/19/2020,"Let me be clear: The voters should pick a President, and that President should select a successor to Justice Ginsburg."
9/19/2020,"Ruth Bader Ginsburg stood for all of us. She was an American hero, a giant of legal doctrine, and a relentless voice in the pursuit of that highest American ideal: Equal Justice Under Law. May her memory be a blessing to all people who cherish our Constitution and its promise."
9/18/2020,"Jill and I wish our friends in the Jewish community a very healthy and happy New Year. As we mark this new beginning, let us commit to pursuing peace and justice in the year ahead. #RoshHashanah"
9/18/2020,"When we needed Donald Trump to tell the truth about COVID-19, he lied to us.  When we needed him to take action to contain its spread, he spent his days golfing.  When we needed a president the most, he was nowhere to be found.  It's unforgivable."
9/18/2020,This election is Scranton vs. Park Avenue.
9/17/2020,"Donald Trump wants to give his rich friends another tax cut, so they pay a lower tax rate than tens of millions of essential workers and middle class Americans.  We need a president who cares about more than the wealthy and well-connected."
